losses,test_game_rewards
2410.372664272785,-20.0
317.82173722982407,-20.0
161.03455686569214,-20.0
105.4650307893753,-20.0
98.61598563194275,-20.0
72.44066220521927,-20.0
63.605003237724304,-20.0
59.308391749858856,-20.0
47.881581485271454,-19.0
42.019735395908356,-20.0
45.09960228204727,-19.0
42.88735741376877,-20.0
39.30462163686752,-20.0
42.55412292480469,-20.0
35.238057076931,-20.0
37.67691749334335,-20.0
31.206053614616394,-20.0
34.5207154750824,-19.0
31.37885594367981,-20.0
29.53075909614563,-20.0
27.25580507516861,-19.0
25.75112009048462,-20.0
20.007525205612183,-20.0
19.339587032794952,-19.0
19.23190152645111,-20.0
17.983122169971466,-20.0
18.234333097934723,-20.0
17.604178369045258,-20.0
16.424309611320496,-20.0
18.106093049049377,-20.0
16.28665167093277,-20.0
16.556378662586212,-20.0
15.51087349653244,-20.0
18.232688307762146,-20.0
16.458964407444,-19.0
16.18909341096878,-20.0
15.871482133865356,-20.0
16.112975299358368,-20.0
15.65430748462677,-20.0
16.13633757829666,-20.0
15.821055054664612,-20.0
14.370226502418518,-20.0
14.83222872018814,-20.0
15.303349375724792,-20.0
14.212095737457275,-20.0
15.167021572589874,-20.0
15.302703201770782,-20.0
14.53085446357727,-20.0
14.790843963623047,-20.0
13.742774367332458,-20.0
